Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,muscle_gp,equipment_details,Equipment,Rating,Description
Rickshaw Carry,"The Rickshaw Carry exercise involves walking while carrying heavy weights, typically in each hand.
It primarily targets the forearms and engages the entire body for stability and strength.
Keep your back straight, core engaged, and take small, controlled steps to prevent injury and maximize effectiveness.
This exercise is excellent for improving grip strength and overall functional strength.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/742/Male/m/742_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/742/Male/m/742_2.jpg,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/other,Other,9.6,Average
Single-Leg Press,"The Single-Leg Press is performed on a leg press machine with one leg at a time.
It primarily targets the quadriceps and also engages the glutes and hamstrings.
Sit on the machine with one foot on the platform and the other foot off to the side.
Press the platform away from you using only the working leg, then return to the starting position.
This exercise helps to address muscle imbalances and strengthens each leg individually.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50m-single-leg-leg-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50m-single-leg-leg-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.6,Average
Landmine twist,"The Landmine Twist is a rotational exercise performed with a barbell anchored at one end.
It targets the obliques and core muscles, improving rotational strength and stability.
Stand with feet shoulder-width apart and hold the free end of the barbell with both hands at chest height.
Rotate your torso to one side, then to the other, keeping your hips facing forward.
This exercise is beneficial for athletes and individuals looking to enhance their core strength and athletic performance.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-129s-landmine-twist-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-129s-landmine-twist-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,9.5,Average
Weighted pull-up,"Attach a weight plate to a dip belt or hold a dumbbell between your feet.
Hang from a pull-up bar with your hands slightly wider than shoulder-width apart, palms facing away from you.
Engage your core and pull yourself up until your chin is above the bar.
Slowly lower yourself back down to the starting position, keeping control of the movement.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-96c-weighted-pull-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-96c-weighted-pull-up-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/lats,Lats,https://www.bodybuilding.com/exercises/equipment/other,Other,9.5,Average
T-Bar Row with Handle,"Load a T-bar row machine with the appropriate weight plates.
Straddle the machine and grasp the handles with an overhand grip, palms facing towards you.
Keep your back straight, chest up, and knees slightly bent.
Pull the handles towards your torso, squeezing your shoulder blades together at the top of the movement.
Lower the handles back down with control until your arms are fully extended.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/1931/Male/m/1931_1.jpg,https://www.bodybuilding.com/images/2020/october/1931_2sm.jpg,https://www.bodybuilding.com/exercises/muscle/middle-back,Middle Back,https://www.bodybuilding.com/exercises/equipment/other,Other,9.5,Average
Palms-down wrist curl over bench,"Sit on a bench with your forearms resting on your thighs and your palms facing down, holding a dumbbell in each hand.
Allow the wrists to hang over the edge of the bench.
Curl the dumbbells upwards by flexing your wrists, bringing them towards you as far as possible.
Slowly lower the dumbbells back down to the starting position, feeling the stretch in your forearms.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.5,Average
Atlas Stones,"Start by standing over a heavy stone or object placed on the ground.
Squat down and grip the stone with both hands, wrapping your arms around it.
Lift the stone off the ground by driving through your legs and hips, keeping your back straight and chest up.
Stand up fully, using your arms to help guide the stone into your lap.
Extend your hips and knees to lift the stone to shoulder height.
Lower the stone back down to the ground with control, bending your knees and hips as you squat down.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_2.jpg,https://www.bodybuilding.com/exercises/muscle/lower-back,Lower Back,https://www.bodybuilding.com/exercises/equipment/other,Other,9.5,Average
Dumbbell front raise to lateral raise,"Stand with a dumbbell in each hand, palms facing your thighs.
Lift both dumbbells in front of you to shoulder height, keeping your arms straight.
Lower the dumbbells back down to the starting position.
Lift the dumbbells out to the sides until they reach shoulder height, keeping your arms straight.
Lower the dumbbells back down to the starting position.
Repeat the sequence, alternating between front raises and lateral raises, for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.5,Average
Clean from Blocks,"Set up blocks or risers to elevate the barbell to knee height.
Stand with your feet shoulder-width apart, toes under the barbell.
Squat down and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.
Keep your back straight, chest up, and shoulders over the barbell.
Explosively extend your hips, knees, and ankles to lift the barbell off the blocks, shrugging your shoulders and pulling the barbell towards your body.
Catch the barbell in a front squat position, with elbows up and chest lifted.
Stand up fully to complete the lift.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_2.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.5,Average
Incline Hammer Curls,"Sit on an incline bench with a dumbbell in each hand, palms facing towards each other.
Keep your upper arms stationary and curl the dumbbells towards your shoulders.
Squeeze your biceps at the top of the movement, then lower the weights back down in a controlled manner.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_2.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.5,Average
